--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
test2/task3\lVwj1LC3lDV30ENh.png	fjev                     	0.9977
test2/task3\lX0e2Nf2uyUtD9bm.png	f617                     	0.6719
test2/task3\lYRfNlQZNXdwk7AD.png	m9k3                     	0.9928
test2/task3\lYigJNY7y4VtdLvb.png	27fv                     	0.9982
test2/task3\lhFiDBLqHWmEqfZs.png	wh1h                     	0.9985
test2/task3\ljYpSjrX5EWGkspj.png	f02p                     	0.9974
test2/task3\luiJAuFKSw7NgwwI.png	2wrt                     	0.9984
test2/task3\mFDdl3bkNkDhSec1.png	31ve                     	0.9983
test2/task3\mJ7vRO0q0N4vFerF.png	95cm                     	0.9973
test2/task3\mJZwFN6qbnHR3yeE.png	hsyd                     	0.9909
test2/task3\mO3ayAVaHcLIiAb1.png	yw63                     	0.9984
test2/task3\mOf8P3xXqUxV5wP1.png	asjh                     	0.9985
test2/task3\mUpxSABXHeNlj6RI.png	vvkw                     	0.9979
test2/task3\mWKgmAtcwBmNlVtF.png	rk2w                     	0.9980
test2/task3\mYsh4WVdASSYKiOl.png	cpdc                     	0.9982
test2/task3\mckLZFJPG854Xrxo.png	er51                     	0.9987
test2/task3\md5CgU2s39Uj5j1t.png	8hcy                     	0.9975
test2/task3\mduZMbUsWJKKHTQF.png	wt97                     	0.9950
test2/task3\mjmq3ckg9w3E1fda.png	92j2                     	0.9950
test2/task3\mqbQ43WHX8r7LGbj.png	p521                     	0.9985
test2/task3\muqZ9k0LChddN9OK.png	txek                     	0.9978
test2/task3\mwsvjDrQ06mdFCxF.png	ccfc                     	0.9988
test2/task3\mwxZ1paPHYBU3bZT.png	x7fs                     	0.9985
test2/task3\myrWBnGRz3emYmVs.png	4rcf                     	0.9981
test2/task3\n2S3P6hfPFw38X5i.png	a2v6                     	0.9982
test2/task3\n4LiDAk0QnvKDQbr.png	dvm8                     	0.9984
test2/task3\n4cGL4LwdVSuhiq4.png	8991                     	0.9987
test2/task3\n9nkmatZL5LFoOpk.png	xnay                     	0.5973
test2/task3\n9yjcJg2cP4ZWAqZ.png	xanx                     	0.9922
test2/task3\n58efNEhGosFsSrE.png	4hed                     	0.9915
test2/task3\nAYP1A9IriiRDU8b.png	p5rj                     	0.5196
test2/task3\nHjK7AzvGM3JvOWV.png	49xh                     	0.9989
test2/task3\nLaK1hoixbTow0Qk.png	k0wd                     	0.9979
test2/task3\nMoSVZLs6VpBjUgd.png	2y6t                     	0.9988
test2/task3\nQCVklhvIFmCcyJL.png	hxh8                     	0.9987
test2/task3\nWhgUJpOpoOzrtRp.png	s0aa                     	0.9957
test2/task3\ndKtWWT9AEUN04va.png	4c6w                     	0.9990
test2/task3\ndVWFi4o6eWGOsLY.png	t6pa                     	0.9975
test2/task3\niNtLNyrNxVmPtJl.png	de7w                     	0.9979
test2/task3\nl3RjGR0wYLYzK5a.png	07p6                     	0.9984
test2/task3\nrDNnkMBbMiSgjoR.png	71ts                     	0.9977
test2/task3\o3MjZ4IojIwFOBsV.png	xyj5                     	0.9986
test2/task3\o36QfImfjGTbmDGa.png	hrds                     	0.9967
test2/task3\o40T0SNtipgsvjar.png	k80r                     	0.9988
test2/task3\oKOsyJ5TqnwsRVpg.png	w190                     	0.9983
test2/task3\oKiceldWCztD1c7d.png	d921                     	0.9989
test2/task3\oL03eZoT0ulunfX8.png	d0r4                     	0.9988
test2/task3\oSXoeTF13UmU95wM.png	4r67                     	0.9988
test2/task3\oZLOBCmIGiZV4q3m.png	t2ed                     	0.9983
test2/task3\oajomX54FfsQFpJw.png	c50p                     	0.9970
test2/task3\ocAvy4nlyLuTgaQG.png	xk3n                     	0.9983
test2/task3\ontjNeLRHhCn5on7.png	vp8r                     	0.9973
test2/task3\oscUi5ms5F1naTVw.png	vejr                     	0.8153
test2/task3\ovj6lS10t1Kg3Knr.png	7eem                     	0.8004
test2/task3\owEYICfqr85Z2DEF.png	679c                     	0.9982
test2/task3\p9MYMeFSEnr7nchd.png	v8wk                     	0.9986
test2/task3\pFCjANisDxjfGDml.png	pk84                     	0.9991
test2/task3\pW60lcqtp1TxpNjT.png	44hd                     	0.9992
test2/task3\pYLm5XsAeWUKhjdq.png	fy2k                     	0.9992
test2/task3\pdJZJ0anO6XIMZGb.png	x1a3                     	0.9986
test2/task3\pfUVTgORVQ2Fx2Fc.png	52yf                     	0.9969
test2/task3\pnYZPDEGj3ZSo1A3.png	5463                     	0.9879
test2/task3\pqPgSUFEQkMSLPV5.png	xvfs                     	0.9984
test2/task3\pumvOQAvzaOKlWi2.png	ya1h                     	0.9913
test2/task3\q3GD0mpTQvm1ZTHN.png	492m                     	0.9807
test2/task3\q5dZQa42qp6wUp5L.png	ccn6                     	0.9918
test2/task3\q9BVcFbNyL1gNhqu.png	9h4m                     	0.3499
test2/task3\qCaxgcMb3GYfqJE3.png	snt0                     	0.9985
test2/task3\qCi4aPNTMBkfv4kU.png	75dy                     	0.9973
test2/task3\qFcvELW8LGqTPzhD.png	6htw                     	0.9981
test2/task3\qHDbkni2G4i8WMqu.png	wc33                     	0.9985
test2/task3\qHyfWkixEOVkH001.png	5d1s                     	0.9985
test2/task3\qJxW57qreWPTk0Dx.png	ajaw                     	0.9947
test2/task3\qY8cZAyU1306p0IG.png	w722                     	0.7340
test2/task3\qqVKJyAq59ySApNe.png	vt9a                     	0.9749
test2/task3\qqdUMuXCoNcBrBZ7.png	s3sr                     	0.9981
test2/task3\qsEMk6sPK2q5pHrh.png	t449                     	0.9987
test2/task3\qvgtQYTWzc5GG9zj.png	4sh7                     	0.9981
test2/task3\qxdbFJaID8HtkMok.png	jx0t                     	0.9985
test2/task3\r2GRtYUJNNZ0Qjfq.png	v6mj                     	0.9927
test2/task3\r6uGomUHllU0MWEG.png	s3ww                     	0.9991
test2/task3\r44FDyTwgSxKFjUS.png	5j10                     	0.9975
test2/task3\rCbLi0tZvK55D8Kv.png	5v8f                     	0.9751
test2/task3\rNwR6CQAqN8N8rjW.png	j5ak                     	0.9976
test2/task3\rPNIBzWTlP5P86bw.png	esxw                     	0.6618
test2/task3\rR1vOyMsoqHHh8YD.png	a69d                     	0.9989
test2/task3\rbGTJEOibxXXnv1E.png	vyc7                     	0.7210
test2/task3\rl1tfZO10Cuo9LT5.png	rwv3                     	0.9987
test2/task3\rlRmNIcVBNp2EVy0.png	ecsk                     	0.9414
test2/task3\rlpEiUKhwH33eTcd.png	f2k4                     	0.9987
test2/task3\rvmXQ6hCT08H5LRA.png	ja2j                     	0.9986
test2/task3\rvwYUQoq6WjLKhov.png	t3kw                     	0.9911
test2/task3\s00K7bZxnqww3Pi0.png	yhd3                     	0.9987
test2/task3\s6z5TykCIF0TuF9L.png	xyv5                     	0.9943
test2/task3\s51QHhkkQxtgsgt2.png	mnw6                     	0.9963
test2/task3\sEFwrDTjzrcP50rT.png	hw03                     	0.9985
test2/task3\sFuiKmfUaQfuC70o.png	40y3                     	0.9989
test2/task3\sH7gjgBMSrmBTC4P.png	kkh9                     	0.9991
test2/task3\sLdUUtmRgwyJWGxG.png	6jdv                     	0.9991
test2/task3\sLgEPIqee8NpIHSZ.png	swxx                     	0.9982
test2/task3\sMh8rQQi3uqhe7ou.png	r185                     	0.9958
test2/task3\sOGWCMGZq9iHAElK.png	777j                     	0.9985
test2/task3\sQAnbNBpBbr4TUPP.png	pwfd                     	0.9932
test2/task3\sUbA8rBGcILFL6Rg.png	5t14                     	0.5404
test2/task3\sVmb42WU8XqgpVwe.png	a9pv                     	0.9982
test2/task3\sYZlYkr1hQp01O6u.png	1jvs                     	0.9989
test2/task3\say8AUlJdLGgdkCv.png	832h                     	0.9921
test2/task3\scrCwsQKshbkw98b.png	ysv5                     	0.9988
test2/task3\sdu6qCFmOaGgh2oy.png	7rhs                     	0.9963
test2/task3\sfdcgwJSjIgunRSx.png	dwpw                     	0.9977
test2/task3\siFASLPy4vnPz2HL.png	awcy                     	0.9983
test2/task3\st2rHVmcKrGNWUXl.png	37ta                     	0.9982
test2/task3\syGVDwliodKwJvJJ.png	refj                     	0.9975
test2/task3\sz52jNxMMu981RdU.png	nx6c                     	0.9961
test2/task3\t4ALhfzLrBrd24Ac.png	hw3t                     	0.9982
test2/task3\tCKG9AP5i2xDY8ZS.png	haj7                     	0.9975
test2/task3\tL2pRBgVeWDP4eor.png	5fv3                     	0.9982
test2/task3\tT017VBj4R382zDn.png	vt2x                     	0.9978
test2/task3\tVbwsNh2uew9zJNF.png	08h4                     	0.9917
test2/task3\tdnKRNsWs0Y5wYOU.png	60wy                     	0.9982
test2/task3\tepfCZNDLTRvTsLc.png	d8w9                     	0.9513
test2/task3\tigovyVoTJDxho1D.png	emc8                     	0.9758
test2/task3\tsalnQrf8BY2StPe.png	s7mv                     	0.9172
test2/task3\tthBr2Uq9JWDcAbU.png	m07t                     	0.9983
test2/task3\tvUTmJL24Ht9ypCn.png	te5w                     	0.9985
test2/task3\u3eaL92vfV6lNW7m.png	675k                     	0.9980
test2/task3\u5BKkOhM4EpJwhF3.png	vfmd                     	0.9888
test2/task3\u8tC3H0ntNzTJDDa.png	8n6v                     	0.9987
test2/task3\uH1F8H4CpiSmzPbh.png	rj91                     	0.9982
test2/task3\uHEWPUNo9CPt9Yvn.png	0jy2                     	0.9984
test2/task3\uRE1ks9QEjmzQykE.png	w1yn                     	0.8902
test2/task3\uSKeRbLIj2bD5y19.png	rs3h                     	0.9975
test2/task3\uUSYtopQhRvTajXL.png	9aff                     	0.9989
test2/task3\uoBfVWDKT8joz9gL.png	w562                     	0.9911
test2/task3\urcRLw39UPn4YHkj.png	j1c2                     	0.9174
test2/task3\uvpJjy7IG6lJ7YVx.png	sayj                     	0.9982
test2/task3\uvw0ulw5GgS9j8iE.png	w36y                     	0.9985
test2/task3\uyxOoSg0eBhGY6uy.png	1dvy                     	0.9981
test2/task3\v2DHRm51IT0Eubj9.png	n2dm                     	0.9979
test2/task3\v2fWJooow9DbdDUA.png	45wh                     	0.9981
test2/task3\v4taaE9h8d6Hh3V8.png	d6dw                     	0.9981
test2/task3\v8LWRz7G54dZTkeq.png	xhee                     	0.9972
test2/task3\vDrJqoDuY43Y1CMl.png	jya4                     	0.9978
test2/task3\vGJ8FKWMU2g8MesK.png	vemj                     	0.9977
test2/task3\vLhwuoIgBJ5h6L5k.png	j52j                     	0.9991
test2/task3\vQkm8cRWgBc9ntp6.png	x748                     	0.9975
test2/task3\vUtzniJlJKXN5Vtw.png	2rw8                     	0.9972
test2/task3\vWfvwCrzSFkNLNiI.png	k931                     	0.9982
test2/task3\vXJxLOMnTsvM7TE6.png	v704                     	0.9598
test2/task3\vbc0zLYaFmnuMJDh.png	39xm                     	0.9984
test2/task3\vdwJ7QzUsYGdTrgj.png	862d                     	0.9985
test2/task3\vhjYYm1CdC3X91H4.png	j01k                     	0.7653
test2/task3\vqdf7a6hYuxhlgf3.png	vp84                     	0.9979
test2/task3\vqxxjuQM21rmYEcf.png	d3v3                     	0.9988
test2/task3\vs8L7NMVBBRA38h3.png	y91c                     	0.7553
test2/task3\vyqO7S0GQOUJYQV3.png	hadp                     	0.9979
test2/task3\w62EmfEgzXzA2l0R.png	yrsm                     	0.9973
test2/task3\wDXnpFKqcB2E20CO.png	0m83                     	0.9965
test2/task3\wHoChnQ3typVTsdO.png	cy43                     	0.7799
test2/task3\wPVxke26X79zMkdX.png	savv                     	0.9983
test2/task3\wPZbislmWKbjmqWS.png	wpek                     	0.9936
test2/task3\wVRB7SVQqgXQralq.png	dn17                     	0.9886
test2/task3\wbFu6z7Qi46k9LyY.png	rh7n                     	0.9973
test2/task3\wdV2DIuBhEaEAGnl.png	mk2w                     	0.9731
test2/task3\woyRupWquFF6Etl4.png	rk8v                     	0.9970
test2/task3\wvjV8133LZ20BtWY.png	vs6n                     	0.5519
test2/task3\wwyAeK3OQ6oYPAhb.png	n722                     	0.9925
test2/task3\wzAq2uQQZbzhJBAl.png	89pr                     	0.9983
test2/task3\wzYk9nciA3cUXA1w.png	93m2                     	0.9991
test2/task3\x4V5VA2ppC8f9fcK.png	cha0                     	0.9985
test2/task3\xCBC7PouqAPS5X6y.png	n1xj                     	0.9975
test2/task3\xCQpm6rfaxewKsOn.png	d4wk                     	0.9984
test2/task3\xE3Ip8VSplijD3cU.png	mhd7                     	0.9989
test2/task3\xFSFYibmSY2esM1H.png	4c87                     	0.9973
test2/task3\xQBAGOPXNZtZ4IxA.png	famh                     	0.9982
test2/task3\xSRUIPU3g80o9qra.png	mc53                     	0.9974
test2/task3\xVYlpThUZMDYiBqf.png	7c6v                     	0.2551
test2/task3\xX4yp2FNmmo7tyRM.png	3taa                     	0.9989
test2/task3\xY75Gglk4i9lbNyX.png	s3dp                     	0.9971
test2/task3\xaML2h989pHYoW21.png	4cn7                     	0.6660
test2/task3\xekga3qy7KR1LNop.png	4yrv                     	0.9984
test2/task3\xfU9gzc8CThHOl8z.png	h2ea                     	0.9987
test2/task3\xhoeM1Kg60F9Egwv.png	2h38                     	0.9977
test2/task3\xjTlVZtNJcvAdbPh.png	vmh9                     	0.9136
test2/task3\xodsa5xe3NoFxhRU.png	dsmt                     	0.9977
test2/task3\xsSovdfxuqp0eaAg.png	9ae1                     	0.9984
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
test2/task3\xvE0T7zzD0VJXVPA.png	acv2                     	0.9985
test2/task3\xxiKo7U1QGUlRWmb.png	s0t1                     	0.9971
test2/task3\y1VgNpJW6yn7SlVu.png	vpj6                     	0.9954
test2/task3\y5H7BUg2b6LfquCI.png	a04t                     	0.9098
test2/task3\y7mdZMLfU9Q5bqVt.png	aw7s                     	0.9981
test2/task3\y30Yap8olHlURYKo.png	t8v1                     	0.9987
test2/task3\yFNO0Puk5WULqc5h.png	dem2                     	0.9986
test2/task3\yL2z3hZFJiEo21MK.png	r0tk                     	0.9978
test2/task3\yLjlWhFzPgnDuUzm.png	3664                     	0.9985
test2/task3\yOgmsvogbrWjVvf1.png	p72f                     	0.8098
test2/task3\yUiiKwLq8Qj6BEgi.png	55y1                     	0.9980
test2/task3\yVukPslOSQG5UwiQ.png	dfsm                     	0.9983
test2/task3\ycpNWMyFtyG6NZiT.png	y3f1                     	0.9985
test2/task3\ypLNK6lOpOlclbch.png	tp6r                     	0.9980
test2/task3\ypfM9cBpyrO1sPEA.png	wd29                     	0.9978
test2/task3\ytQo3njrOTfEaz16.png	97y5                     	0.9971
test2/task3\yvH30BzNhihjdwlo.png	c8v1                     	0.9991
test2/task3\ywhyRVRA5jJpOY62.png	0pj9                     	0.9989
test2/task3\yzBy9uvuPD6lVHb2.png	en9y                     	0.9975
test2/task3\z5bRl1jMaD7gqyGZ.png	2jct                     	0.9963
test2/task3\zBk6bFJ8yRkxCbQf.png	x09m                     	0.9983
test2/task3\zF5KWu2S0VWvfhFm.png	vjxw                     	0.9982
test2/task3\zLuYCXKEXW8n8SCA.png	d7s0                     	0.9982
test2/task3\zNJ4sBuPQvoyiEAv.png	ck5k                     	0.9992
test2/task3\zPUOL4Y0xmg03VJG.png	n86f                     	0.9977
test2/task3\zPyh29XqicjwCmEM.png	nrdh                     	0.9978
test2/task3\zSfbY7QHZhpLbgrD.png	ty2h                     	0.9986
test2/task3\zcTIYgNd7f1Tfp0E.png	jvh0                     	0.9985
test2/task3\zdNozLfiCaHAWgxh.png	x0ef                     	0.9988
test2/task3\ze3SEeUWjbeNXiTI.png	yya1                     	0.9165
test2/task3\zelTOlTGuQcm1oym.png	cw8e                     	0.9978
test2/task3\zfGe24FRvurMbya2.png	pk4w                     	0.9975
test2/task3\zgLnJHIxmt8RRtdC.png	7pwk                     	0.9974
test2/task3\zkeq52TCrJleGdzT.png	j23v                     	0.9970
test2/task3\zoUOknOpLQEQe5X8.png	3mma                     	0.9969
test2/task3\zoWoUeWCgGUht15y.png	tjfn                     	0.9975
test2/task3\zpOZV89Ta8SzLY3E.png	ftrt                     	0.9984
test2/task3\zqZHo8OSubEZ9nld.png	v5cs                     	0.9985
test2/task3\zr5bUgwMTEZnLhJe.png	3f8e                     	0.9969
test2/task3\ztvnmS3LWMsP5I1K.png	3tt6                     	0.9912
